eo_id,station_id,acquisition_date,abs_day_diff,s2_cloud_cover,s2_solar_zenith,s2_solar_azimuth,s2_view_zenith,s2_view_azimuth,s2_mgrs_tile,s2_item_id
S2_FI_00000144,10937,2023-01-09,1.0,99.982816,83.1955587192166,172.675740224137,,,35VNH,S2B_MSIL2A_20230109T094259_R036_T35VNH_20240810T094942
S2_FI_00000145,10937,2023-01-09,1.0,99.982816,83.1955587192166,172.675740224137,,,35VNH,S2B_MSIL2A_20230109T094259_R036_T35VNH_20240810T094942
S2_FI_00000146,10937,2023-01-09,1.0,99.982816,83.1955587192166,172.675740224137,,,35VNH,S2B_MSIL2A_20230109T094259_R036_T35VNH_20240810T094942
S2_FI_00000147,10937,2023-01-09,1.0,99.982816,83.1955587192166,172.675740224137,,,35VNH,S2B_MSIL2A_20230109T094259_R036_T35VNH_20240810T094942
S2_FI_00000148,10937,2023-01-09,1.0,99.982816,83.1955587192166,172.675740224137,,,35VNH,S2B_MSIL2A_20230109T094259_R036_T35VNH_20240810T094942
S2_FI_00000149,10937,2023-01-09,1.0,99.982816,83.1955587192166,172.675740224137,,,35VNH,S2B_MSIL2A_20230109T094259_R036_T35VNH_20240810T094942
S2_FI_00000150,10937,2023-02-08,1.0,99.763161,76.2475474357969,170.41768004929,,,35VNH,S2B_MSIL2A_20230208T094049_R036_T35VNH_20240813T101951
S2_FI_00000151,10937,2023-02-08,1.0,99.763161,76.2475474357969,170.41768004929,,,35VNH,S2B_MSIL2A_20230208T094049_R036_T35VNH_20240813T101951
S2_FI_00000152,10937,2023-02-08,1.0,99.763161,76.2475474357969,170.41768004929,,,35VNH,S2B_MSIL2A_20230208T094049_R036_T35VNH_20240813T101951
S2_FI_00000153,10937,2023-02-08,1.0,99.763161,76.2475474357969,170.41768004929,,,35VNH,S2B_MSIL2A_20230208T094049_R036_T35VNH_20240813T101951
S2_FI_00000154,10937,2023-02-08,1.0,99.763161,76.2475474357969,170.41768004929,,,35VNH,S2B_MSIL2A_20230208T094049_R036_T35VNH_20240813T101951
S2_FI_00000155,10937,2023-02-08,1.0,99.763161,76.2475474357969,170.41768004929,,,35VNH,S2B_MSIL2A_20230208T094049_R036_T35VNH_20240813T101951
S2_FI_00000156,10937,2023-02-28,1.0,26.003328,69.2171016172935,170.208667846854,,,35VNH,S2B_MSIL2A_20230228T094029_R036_T35VNH_20230301T181338
S2_FI_00000157,10937,2023-02-28,1.0,26.003328,69.2171016172935,170.208667846854,,,35VNH,S2B_MSIL2A_20230228T094029_R036_T35VNH_20230301T181338
S2_FI_00000158,10937,2023-02-28,1.0,26.003328,69.2171016172935,170.208667846854,,,35VNH,S2B_MSIL2A_20230228T094029_R036_T35VNH_20230301T181338
S2_FI_00000159,10937,2023-02-28,1.0,26.003328,69.2171016172935,170.208667846854,,,35VNH,S2B_MSIL2A_20230228T094029_R036_T35VNH_20230301T181338
