sample_id,station_id,lake_id,sample_date,lat,lon,chl_a,tn,tp,turbidity,conductivity,img_t0_offset_days,img_t0_acq_date,img_t0_day_diff,img_t0_cloud,img_t0_item_id,img_t0_b02,img_t0_b03,img_t0_b04,img_t0_b08,img_t1_offset_days,img_t1_acq_date,img_t1_day_diff,img_t1_cloud,img_t1_item_id,img_t1_b02,img_t1_b03,img_t1_b04,img_t1_b08,img_t2_offset_days,img_t2_acq_date,img_t2_day_diff,img_t2_cloud,img_t2_item_id,img_t2_b02,img_t2_b03,img_t2_b04,img_t2_b08,img_t3_offset_days,img_t3_acq_date,img_t3_day_diff,img_t3_cloud,img_t3_item_id,img_t3_b02,img_t3_b03,img_t3_b04,img_t3_b08,img_t4_offset_days,img_t4_acq_date,img_t4_day_diff,img_t4_cloud,img_t4_item_id,img_t4_b02,img_t4_b03,img_t4_b04,img_t4_b08,img_t5_offset_days,img_t5_acq_date,img_t5_day_diff,img_t5_cloud,img_t5_item_id,img_t5_b02,img_t5_b03,img_t5_b04,img_t5_b08,img_t6_offset_days,img_t6_acq_date,img_t6_day_diff,img_t6_cloud,img_t6_item_id,img_t6_b02,img_t6_b03,img_t6_b04,img_t6_b08,img_t7_offset_days,img_t7_acq_date,img_t7_day_diff,img_t7_cloud,img_t7_item_id,img_t7_b02,img_t7_b03,img_t7_b04,img_t7_b08,img_t8_offset_days,img_t8_acq_date,img_t8_day_diff,img_t8_cloud,img_t8_item_id,img_t8_b02,img_t8_b03,img_t8_b04,img_t8_b08,chip_status,s2_item_id_chip,acquisition_date_chip,abs_day_diff_chip,s2_cloud_cover_chip,chip_bands,chip_size,chip_path,chip_image_path
FI_00000018,10060,10060,2023-04-04,61.41234231212037,29.399668855924936,3.5,480.0,11.0,1.3999999999999997,9.8,-7,,,,,,,,,-5,,,,,,,,,-3,,,,,,,,,-1,,,,,,,,,0,,,,,,,,,1,2023-04-06,1.0,17.23485,S2B_MSIL2A_20230406T093039_R136_T35VPJ_20240827T080719,2313.0,2288.0,2685.0,4420.0,3,2023-04-06,1.0,17.23485,S2B_MSIL2A_20230406T093039_R136_T35VPJ_20240827T080719,2313.0,2288.0,2685.0,4420.0,5,2023-04-09,0.0,10.744652,S2B_MSIL2A_20230409T094039_R036_T35VPJ_20240825T050634,2666.0,2942.0,3258.0,4664.0,7,,,,,,,,,ok,S2B_MSIL2A_20230406T093039_R136_T35VPJ_20240827T080719,2023-04-06,2.0,17.23485,"B02,B03,B04,B08",256,chips/npz/FI_00000018.npz,chips/rgb/FI_00000018.png
FI_00000510,11146,11146,2023-03-01,60.65688838242908,27.90019461609265,,1400.0,29.0,4.3,7.2,-7,,,,,,,,,-5,,,,,,,,,-3,,,,,,,,,-1,2023-02-28,0.0,26.003328,S2B_MSIL2A_20230228T094029_R036_T35VNH_20230301T181338,5024.0,4924.0,5208.0,6304.0,0,2023-02-28,1.0,26.003328,S2B_MSIL2A_20230228T094029_R036_T35VNH_20230301T181338,5024.0,4924.0,5208.0,6304.0,1,,,,,,,,,3,,,,,,,,,5,,,,,,,,,7,,,,,,,,,ok,S2B_MSIL2A_20230228T094029_R036_T35VNH_20230301T181338,2023-02-28,1.0,26.003328,"B02,B03,B04,B08",256,chips/npz/FI_00000510.npz,chips/rgb/FI_00000510.png
FI_00000642,1229,1229,2023-02-08,60.33564037793927,24.06683532961399,,1100.0,38.0,1.1,8.7,-7,,,,,,,,,-5,2023-02-04,1.0,0.053407,S2B_MSIL2A_20230204T100119_R122_T34VFN_20230205T032316,1744.0,1514.0,1557.0,1962.0,-3,2023-02-04,1.0,0.053407,S2B_MSIL2A_20230204T100119_R122_T34VFN_20230205T032316,1744.0,1514.0,1557.0,1962.0,-1,2023-02-06,1.0,3.568933,S2A_MSIL2A_20230206T095201_R079_T35VLG_20240731T235028,1803.0,1918.0,1960.0,2233.0,0,,,,,,,,,1,,,,,,,,,3,2023-02-11,0.0,13.620296,S2B_MSIL2A_20230211T095039_R079_T34VFN_20230211T230636,2622.0,2378.0,2484.0,2802.0,5,2023-02-14,1.0,20.254558,S2B_MSIL2A_20230214T100029_R122_T34VFM_20230214T185754,4680.0,4632.0,4672.0,5672.0,7,2023-02-14,1.0,20.254558,S2B_MSIL2A_20230214T100029_R122_T34VFM_20230214T185754,4680.0,4632.0,4672.0,5672.0,ok,S2A_MSIL2A_20230206T095201_R079_T35VLG_20240731T235028,2023-02-06,2.0,3.568933,"B02,B03,B04,B08",256,chips/npz/FI_00000642.npz,chips/rgb/FI_00000642.png
FI_00001044,18170,18170,2023-03-16,63.728776901271246,26.38240528354664,,1100.0,46.0,13.0,9.1,-7,,,,,,,,,-5,,,,,,,,,-3,2023-03-13,0.0,34.588033,S2B_MSIL2A_20230313T095039_R079_T35VML_20240819T180634,2232.0,1878.0,1667.0,2304.0,-1,2023-03-16,1.0,19.089602,S2B_MSIL2A_20230316T100029_R122_T35VML_20240806T010023,1799.0,1623.0,1618.0,2490.0,0,2023-03-16,0.0,19.089602,S2B_MSIL2A_20230316T100029_R122_T35VML_20240806T010023,1799.0,1623.0,1618.0,2490.0,1,2023-03-16,1.0,19.089602,S2B_MSIL2A_20230316T100029_R122_T35VML_20240806T010023,1799.0,1623.0,1618.0,2490.0,3,,,,,,,,,5,,,,,,,,,7,,,,,,,,,ok,S2B_MSIL2A_20230316T100029_R122_T35VML_20240806T010023,2023-03-16,0.0,19.089602,"B02,B03,B04,B08",256,chips/npz/FI_00001044.npz,chips/rgb/FI_00001044.png
FI_00001020,17662,Lapinjärvi,2024-07-15,63.12479397420693,27.432628122752828,,905.0,72.5,6.400000000000001,7.55,-7,,,,,,,,,-5,2024-07-10,0.0,20.025995,S2A_MSIL2A_20240710T095031_R079_T35VNK_20240710T164001,1093.0,1090.0,1108.0,1026.0,-3,,,,,,,,,-1,,,,,,,,,0,,,,,,,,,1,,,,,,,,,3,,,,,,,,,5,,,,,,,,,7,2024-07-22,0.0,7.642624,S2B_MSIL2A_20240722T093549_R036_T35VNL_20240722T142158,1186.0,1131.0,1110.0,1077.0,ok,S2A_MSIL2A_20240710T095031_R079_T35VNK_20240710T164001,2024-07-10,5.0,20.025995,"B02,B03,B04,B08",256,chips/npz/FI_00001020.npz,chips/rgb/FI_00001020.png
FI_00000156,10937,Nuijamaanjärvi,2023-03-01,60.95454402242739,28.56703697930222,,540.0,15.0,1.505,15.0,-7,,,,,,,,,-5,,,,,,,,,-3,,,,,,,,,-1,2023-02-28,0.0,26.003328,S2B_MSIL2A_20230228T094029_R036_T35VNH_20230301T181338,11792.0,11336.0,11312.0,10776.0,0,2023-02-28,1.0,26.003328,S2B_MSIL2A_20230228T094029_R036_T35VNH_20230301T181338,11792.0,11336.0,11312.0,10776.0,1,,,,,,,,,3,,,,,,,,,5,,,,,,,,,7,,,,,,,,,ok,S2B_MSIL2A_20230228T094029_R036_T35VNH_20230301T181338,2023-02-28,1.0,26.003328,"B02,B03,B04,B08",256,chips/npz/FI_00000156.npz,chips/rgb/FI_00000156.png
FI_00000942,1636,Pitkäjärvi,2023-03-14,60.66558908011945,23.292230275876104,,1400.0,49.0,37.0,9.5,-7,,,,,,,,,-5,,,,,,,,,-3,,,,,,,,,-1,,,,,,,,,0,,,,,,,,,1,2023-03-16,1.0,29.65945,S2B_MSIL2A_20230316T100029_R122_T34VFN_20240827T115615,1915.0,2606.0,2490.0,3547.0,3,2023-03-16,1.0,29.65945,S2B_MSIL2A_20230316T100029_R122_T34VFN_20240827T115615,1915.0,2606.0,2490.0,3547.0,5,,,,,,,,,7,2023-03-21,0.0,19.073986,S2A_MSIL2A_20230321T100031_R122_T34VFN_20230321T173823,655.0,858.0,1019.0,1262.0,ok,S2B_MSIL2A_20230316T100029_R122_T34VFN_20240827T115615,2023-03-16,2.0,29.65945,"B02,B03,B04,B08",256,chips/npz/FI_00000942.npz,chips/rgb/FI_00000942.png
FI_00000019,10060,10060,2023-04-04,61.41234231212037,29.399668855924936,3.5,480.0,11.0,1.3999999999999997,9.8,-7,,,,,,,,,-5,,,,,,,,,-3,,,,,,,,,-1,,,,,,,,,0,,,,,,,,,1,2023-04-06,1.0,17.23485,S2B_MSIL2A_20230406T093039_R136_T35VPJ_20240827T080719,2313.0,2288.0,2685.0,4420.0,3,2023-04-06,1.0,17.23485,S2B_MSIL2A_20230406T093039_R136_T35VPJ_20240827T080719,2313.0,2288.0,2685.0,4420.0,5,2023-04-09,0.0,10.744652,S2B_MSIL2A_20230409T094039_R036_T35VPJ_20240825T050634,2666.0,2942.0,3258.0,4664.0,7,,,,,,,,,ok,S2B_MSIL2A_20230406T093039_R136_T35VPJ_20240827T080719,2023-04-06,2.0,17.23485,"B02,B03,B04,B08",256,chips/npz/FI_00000019.npz,chips/rgb/FI_00000019.png
FI_00000511,11146,11146,2023-03-01,60.65688838242908,27.90019461609265,,1400.0,29.0,4.3,7.2,-7,,,,,,,,,-5,,,,,,,,,-3,,,,,,,,,-1,2023-02-28,0.0,26.003328,S2B_MSIL2A_20230228T094029_R036_T35VNH_20230301T181338,5024.0,4924.0,5208.0,6304.0,0,2023-02-28,1.0,26.003328,S2B_MSIL2A_20230228T094029_R036_T35VNH_20230301T181338,5024.0,4924.0,5208.0,6304.0,1,,,,,,,,,3,,,,,,,,,5,,,,,,,,,7,,,,,,,,,ok,S2B_MSIL2A_20230228T094029_R036_T35VNH_20230301T181338,2023-02-28,1.0,26.003328,"B02,B03,B04,B08",256,chips/npz/FI_00000511.npz,chips/rgb/FI_00000511.png
FI_00000643,1229,1229,2023-02-08,60.33564037793927,24.06683532961399,,1100.0,38.0,1.1,8.7,-7,,,,,,,,,-5,2023-02-04,1.0,0.053407,S2B_MSIL2A_20230204T100119_R122_T34VFN_20230205T032316,1744.0,1514.0,1557.0,1962.0,-3,2023-02-04,1.0,0.053407,S2B_MSIL2A_20230204T100119_R122_T34VFN_20230205T032316,1744.0,1514.0,1557.0,1962.0,-1,2023-02-06,1.0,3.568933,S2A_MSIL2A_20230206T095201_R079_T35VLG_20240731T235028,1803.0,1918.0,1960.0,2233.0,0,,,,,,,,,1,,,,,,,,,3,2023-02-11,0.0,13.620296,S2B_MSIL2A_20230211T095039_R079_T34VFN_20230211T230636,2622.0,2378.0,2484.0,2802.0,5,2023-02-14,1.0,20.254558,S2B_MSIL2A_20230214T100029_R122_T34VFM_20230214T185754,4680.0,4632.0,4672.0,5672.0,7,2023-02-14,1.0,20.254558,S2B_MSIL2A_20230214T100029_R122_T34VFM_20230214T185754,4680.0,4632.0,4672.0,5672.0,ok,S2A_MSIL2A_20230206T095201_R079_T35VLG_20240731T235028,2023-02-06,2.0,3.568933,"B02,B03,B04,B08",256,chips/npz/FI_00000643.npz,chips/rgb/FI_00000643.png
