sample_id,station_id,lake_id,sample_date,lat,lon,chl_a,doc,secchi_depth,tn,toc,tp,turbidity,eo_id,acquisition_date,abs_day_diff,s2_cloud_cover,s2_solar_zenith,s2_solar_azimuth,s2_view_zenith,s2_view_azimuth,s2_mgrs_tile,s2_item_id,chl_a_ext,conductivity,dissolved_oxygen,doc_ext,oxygen_saturation,ph,suspended_solids,temperature,tn_ext,toc_ext,tp_ext,turbidity_ext,depth_layer,name,lakename,municipality,Municipal,EnvironmentType,WaterManagementAreaCode,WaterManagementArea,WaterbasinCode,Waterbasin,WaterbodyType,WaterbodyType_Id
FI_00000000,10060,10060,2023-01-10,61.41234231212037,29.399668855924936,,,,460.0,,14.0,0.99,S2_FI_00000000,2023-01-09,1.0,100.0,83.9495686515631,174.701184585914,,,36VUP,S2B_MSIL2A_20230109T094259_R036_T36VUP_20240810T094942,,11.0,13.1,,90.0,7.400000000000001,1.4,0.2,460.0,,14.0,0.99,0.2,Hiitolanjoki rajav 002,,Rautjärvi,Rautjärvi,River,VHA1,Vuoksen vesienhoitoalue,3.011,Kokkolanjoen a,Suuret kangasmaiden joet,108.0
FI_00000001,10060,10060,2023-01-10,61.41234231212037,29.399668855924936,,,,460.0,,14.0,0.99,S2_FI_00000001,2023-02-08,1.0,93.576396,76.9579990738968,172.591596410515,,,36VUP,S2B_MSIL2A_20230208T094049_R036_T36VUP_20240813T101951,,11.0,13.1,,90.0,7.400000000000001,1.4,0.2,460.0,,14.0,0.99,0.2,Hiitolanjoki rajav 002,,Rautjärvi,Rautjärvi,River,VHA1,Vuoksen vesienhoitoalue,3.011,Kokkolanjoen a,Suuret kangasmaiden joet,108.0
FI_00000002,10060,10060,2023-01-10,61.41234231212037,29.399668855924936,,,,460.0,,14.0,0.99,S2_FI_00000002,2023-03-02,1.0,1.468945,69.343858466529,169.937775894309,,,36VUP,S2A_MSIL2A_20230302T093031_R136_T36VUP_20240818T001539,,11.0,13.1,,90.0,7.400000000000001,1.4,0.2,460.0,,14.0,0.99,0.2,Hiitolanjoki rajav 002,,Rautjärvi,Rautjärvi,River,VHA1,Vuoksen vesienhoitoalue,3.011,Kokkolanjoen a,Suuret kangasmaiden joet,108.0
FI_00000003,10060,10060,2023-01-10,61.41234231212037,29.399668855924936,,,,460.0,,14.0,0.99,S2_FI_00000003,2023-04-04,0.0,99.095535,56.1577166137602,174.354098219461,,,36VUP,S2A_MSIL2A_20230404T094031_R036_T36VUP_20240825T224659,,11.0,13.1,,90.0,7.400000000000001,1.4,0.2,460.0,,14.0,0.99,0.2,Hiitolanjoki rajav 002,,Rautjärvi,Rautjärvi,River,VHA1,Vuoksen vesienhoitoalue,3.011,Kokkolanjoen a,Suuret kangasmaiden joet,108.0
FI_00000004,10060,10060,2023-01-10,61.41234231212037,29.399668855924936,,,,460.0,,14.0,0.99,S2_FI_00000004,2023-05-16,0.0,97.098792,42.8035181012733,172.332156664977,,,36VUP,S2B_MSIL2A_20230516T092559_R136_T36VUP_20230516T135152,,11.0,13.1,,90.0,7.400000000000001,1.4,0.2,460.0,,14.0,0.99,0.2,Hiitolanjoki rajav 002,,Rautjärvi,Rautjärvi,River,VHA1,Vuoksen vesienhoitoalue,3.011,Kokkolanjoen a,Suuret kangasmaiden joet,108.0
FI_00000005,10060,10060,2023-01-10,61.41234231212037,29.399668855924936,,,,460.0,,14.0,0.99,S2_FI_00000005,2023-06-08,1.0,99.798834,38.9559936761273,174.611721935959,,,36VUP,S2B_MSIL2A_20230608T093549_R036_T36VUP_20240911T145836,,11.0,13.1,,90.0,7.400000000000001,1.4,0.2,460.0,,14.0,0.99,0.2,Hiitolanjoki rajav 002,,Rautjärvi,Rautjärvi,River,VHA1,Vuoksen vesienhoitoalue,3.011,Kokkolanjoen a,Suuret kangasmaiden joet,108.0
FI_00000006,10060,10060,2023-02-07,61.41234231212037,29.399668855924936,,,,450.0,,12.0,1.2,S2_FI_00000006,2023-07-03,1.0,75.950617,38.9007396147205,172.695512198174,,,36VUP,S2A_MSIL2A_20230703T094041_R036_T36VUP_20230703T160840,,10.0,13.199999999999998,,92.0,7.400000000000001,1.4,0.8000000000000002,450.0,,12.0,1.2,0.2,Hiitolanjoki rajav 002,,Rautjärvi,Rautjärvi,River,VHA1,Vuoksen vesienhoitoalue,3.011,Kokkolanjoen a,Suuret kangasmaiden joet,108.0
FI_00000007,10060,10060,2023-02-07,61.41234231212037,29.399668855924936,,,,450.0,,12.0,1.2,S2_FI_00000007,2023-08-02,1.0,48.658302,44.1102020790594,172.46794329781,,,36VUP,S2A_MSIL2A_20230802T094041_R036_T36VUP_20241026T134447,,10.0,13.199999999999998,,92.0,7.400000000000001,1.4,0.8000000000000002,450.0,,12.0,1.2,0.2,Hiitolanjoki rajav 002,,Rautjärvi,Rautjärvi,River,VHA1,Vuoksen vesienhoitoalue,3.011,Kokkolanjoen a,Suuret kangasmaiden joet,108.0
FI_00000008,10060,10060,2023-02-07,61.41234231212037,29.399668855924936,,,,450.0,,12.0,1.2,S2_FI_00000008,2023-09-06,1.0,73.384237,55.3125244235365,175.722197764335,,,36VUP,S2B_MSIL2A_20230906T093549_R036_T36VUP_20241029T123722,,10.0,13.199999999999998,,92.0,7.400000000000001,1.4,0.8000000000000002,450.0,,12.0,1.2,0.2,Hiitolanjoki rajav 002,,Rautjärvi,Rautjärvi,River,VHA1,Vuoksen vesienhoitoalue,3.011,Kokkolanjoen a,Suuret kangasmaiden joet,108.0
FI_00000009,10060,10060,2023-02-07,61.41234231212037,29.399668855924936,,,,450.0,,12.0,1.2,S2_FI_00000009,2023-10-03,0.0,92.818618,65.7068132010519,175.940616296394,,,36VUP,S2B_MSIL2A_20231003T092729_R136_T36VUP_20241101T185340,,10.0,13.199999999999998,,92.0,7.400000000000001,1.4,0.8000000000000002,450.0,,12.0,1.2,0.2,Hiitolanjoki rajav 002,,Rautjärvi,Rautjärvi,River,VHA1,Vuoksen vesienhoitoalue,3.011,Kokkolanjoen a,Suuret kangasmaiden joet,108.0
