municipality,n_rows,n_stations,n_tiles,chl_a_mean
Vantaa,1782,7,1,
Salo,1302,6,1,8.85
Sotkamo,1290,7,4,
Lieto,906,2,1,
Turku,762,2,1,
Seinäjoki,570,3,1,
Paimio,564,1,1,
Ranua,534,2,1,
Kittilä,438,2,1,
Pöytyä,414,2,1,
Pedersören kunta,360,3,2,
Lappeenranta,354,2,1,28.02857142857143
Kaarina,342,1,1,
Orivesi,330,2,1,18.0625
Raasepori,324,6,1,2.6454545454545455
Eura,318,2,1,
Ilmajoki,318,2,1,
Nokia,318,2,1,9.625
Kuopio,312,2,1,50.5
Ikaalinen,306,2,2,4.7
Kiuruvesi,288,2,1,25.0
Mäntsälä,282,4,1,
Kajaani,276,2,1,
Tampere,276,1,1,
Enontekiö,276,1,1,
Halsua,276,1,1,
Nurmes,276,1,1,
Aura,270,2,1,11.1
Outokumpu,270,1,1,
Tyrnävä,264,1,1,
Kemijärvi,264,1,1,
Hyrynsalmi,252,1,1,
Saarijärvi,246,1,1,
Lohja,240,4,2,
Maalahti,240,3,1,6.2124999999999995
Taivalkoski,210,1,1,
Valkeakoski,198,1,1,
Muonio,192,1,1,
Vehmaa,180,1,1,
Sipoo,180,2,1,2.52
Sastamala,180,2,2,10.525
Raisio,162,2,1,
Säkylä,156,1,1,
Mustasaari,150,1,1,
Mynämäki,150,2,1,3.2000000000000006
Rautjärvi,144,1,1,2.1928571428571426
Miehikkälä,144,1,1,8.178571428571429
Rovaniemi,144,1,1,
Mänttä-Vilppula,144,1,1,
Porvoo,138,5,1,7.463157894736842
Ylöjärvi,132,3,1,6.807142857142857
Huittinen,132,1,1,
Loviisa,90,3,1,4.033333333333333
Eurajoki,84,1,1,
Kirkkonummi,60,2,1,5.21
Masku,54,1,1,
Somero,54,1,1,
Akaa,36,1,1,29.55
Kristiinankaupunki,36,2,2,
Urjala,36,1,1,5.925000000000001
Virrat,36,1,1,3.4000000000000004
Korsnäs,36,1,1,11.4
Joroinen,36,1,1,35.0
Laukaa,36,1,1,10.0
Kemiönsaari,36,1,1,14.25
Savonlinna,30,2,1,6.8999999999999995
Parkano,30,1,1,5.5
Hankasalmi,18,1,1,12.25
Inkoo,18,1,1,15.600000000000001
Multia,18,1,1,26.0
Petäjävesi,18,1,1,11.5
Pielavesi,18,1,1,4.5
Tervo,18,1,1,16.5
Karstula,12,1,1,7.3
