s2_mgrs_tile,station_count,min_station_lon,min_station_lat,max_station_lon,max_station_lat,tile_min_lon,tile_min_lat,tile_max_lon,tile_max_lat,bbox_source,bbox_adjusted_with_station_extent,station_share_pct,chl_a_mean,chl_a_median,chl_a_min,chl_a_max,chl_a_non_null_count
34VEN,4494,21.67536111041876,60.4618305193562,22.692515752118908,61.21917974736993,21.0,60.43627719470041,22.86796446359873,61.3212339093697,mgrs,False,23.182,8.466666666666667,8.2,3.2000000000000006,14.0,18
35VLG,2070,24.040244014001765,59.98305190483926,24.99163119966104,60.34327199678209,23.46739795948797,59.49062559948277,25.183711134306066,60.423889574309726,mgrs,False,10.678,5.21,3.6000000000000005,1.0,14.0,60
34VFM,1644,23.07620080159525,59.89158065181677,23.800350318892683,60.391251055282986,22.76776536569303,59.5264083044755,24.629322571802717,60.38679831463247,mgrs,False,8.48,4.11923076923077,2.55,1.0,28.0,156
34VEQ,1332,21.03309093511549,62.236475350019816,22.913934038016272,63.09257147055156,21.0,62.23177006416561,22.982281584543127,63.11548117710186,mgrs,False,6.871,7.941666666666666,5.65,2.7000000000000006,15.0,72
35VNL,966,27.9085881261785,63.76207520998143,28.651557554566008,63.95983506997912,27.0,63.12933971180665,29.045633484087084,64.01238381829789,mgrs,False,4.983,,,,,0
34VFP,762,23.10493876617303,61.450897029013866,23.75740009805748,62.10028728574886,22.867983665869044,61.321242625339345,24.8425454098674,62.178491682283465,mgrs,False,3.931,6.9363636363636365,7.25,1.2,17.0,132
35WMP,678,26.07778400019568,66.1432103908584,26.16056580356087,66.44949633706041,24.81297180621321,65.80575138896783,26.999977327382595,66.7184925276686,mgrs,False,3.497,,,,,0
35WLR,630,24.15537748601056,68.00030802831975,24.286764769021293,68.02671145063097,22.303620523750173,67.54752820870395,24.555091140247825,68.49463668573546,mgrs,False,3.25,,,,,0
35WNM,576,28.09077147085913,64.04415443252257,28.616499757968,64.70460493641164,27.0,64.02679492141058,29.113700980708423,64.90913809710288,mgrs,False,2.971,,,,,0
35VNH,498,27.90019461609265,60.65688838242908,28.56703697930222,60.95454402242739,27.0,60.43627719470041,28.867964463598724,61.3212339093697,mgrs,False,2.569,21.41190476190476,7.9,1.0,94.0,252
35VLJ,474,24.343871221307204,61.66219093881418,24.50354465057094,62.01432991571751,23.267540578327285,61.28276736525582,25.076770504416686,62.21843049936496,mgrs,False,2.445,18.0625,18.5,12.0,26.0,48
35WNP,474,27.69154213502646,65.81950728014465,27.803546735785982,66.55064756038101,27.0,65.82137295028103,29.26614898949047,66.70219593478981,mgrs,False,2.445,,,,,0
34VEP,462,21.444934092488445,61.32881890298074,22.84736982194477,62.22646380493697,21.0,61.3340833851585,22.923191057132314,62.2184310324064,mgrs,False,2.383,5.5,6.099999999999999,1.0,9.4,18
35VMG,408,25.35316693838677,60.187463737944896,26.146652021858387,60.39368326035263,25.23223463430697,59.5264083044755,26.999981831946567,60.43626821603171,mgrs,False,2.105,5.51025641025641,2.3,1.0,43.0,234
34VFN,372,22.995606941623222,60.58539050009426,23.98224981559096,61.289784616721015,22.816271214282633,60.42389879597834,24.732439741031843,61.28275891930888,mgrs,False,1.919,15.333333333333334,7.949999999999999,1.8,84.0,72
34VER,354,22.981608612865383,63.61923752338727,22.99828500309974,63.62359803479845,21.0,63.12933971180665,23.045633484087087,64.01238381829789,mgrs,False,1.826,,,,,0
