waterbasin,n_rows,n_stations,n_tiles,chl_a_mean
,11640,78,29,14.24
Keravanjoen alaosan a,750,3,1,
Savijoen va,576,1,1,
Paimion a,564,1,1,
Paattistenjoen va,408,1,1,
Vantaan suualue,360,1,1,
Aurajoen alaosan a,342,1,1,
Oriselän a,330,2,1,18.0625
Mahnalanselän la,282,1,1,
Näsijärven la,276,1,1,
Sävijoen a,270,1,1,
Uskelanjoen alaosan a,228,1,1,
Rönnskärsgloppetin rannikkoalue,204,2,1,4.025
Jumusen - Rauttunselän a,198,1,1,
Raseborgs ån va,192,1,1,
Raisionjoen va,162,2,1,
Euran a,162,1,1,
Koskenjoen a,156,1,1,
Pyhäjärven la,156,1,1,
Munakan a,156,1,1,
Rautaveden a,144,1,1,
Paloselän a,144,1,1,
Kokkolanjoen a,144,1,1,2.1928571428571426
Pajuluoman va,144,1,1,
Loviisan - Pernajan rannikkoalue,120,4,1,6.28
Hiidenveden la,114,1,1,
Sitarlanjoen - Härkäjoen a,114,1,1,
Mynäjoen alaosan a,96,1,1,
Mäntsälänjoen va,78,1,1,
Mustijoen keskiosan a,78,1,1,
Hirvijoen alaosan a,54,1,1,
Laajoen alaosan a,54,1,1,3.2000000000000006
Pitkäjärven - Pusulanjärven a,54,1,1,
Halikonjoen alaosan a,48,1,1,8.85
Hirvihaaranjoen a,48,1,1,
Halikonlahden rannikkoalue,48,2,1,3.3625000000000003
Toisveden la,36,1,1,3.4000000000000004
Tarpianjoen yläosan va,36,1,1,5.925000000000001
Karhejärven va,36,1,1,8.950000000000001
Kyrösjärven la,36,1,1,4.7
Bergöfjärdenin rannikkoalue,36,1,1,8.4
Aurajoen keskiosan a,36,1,1,11.1
Houhajärven va,36,1,1,10.525
Paimionlahden rannikkoalue,36,1,1,14.25
Tarpianjoen alaosan a,36,1,1,29.55
Kovesjärven va,30,1,1,5.5
Tammisaaren - Hangon rannikkoalue,30,1,1,2.42
Porvoon rannikkoalue,30,1,1,11.28
Sipoon rannikkoalue,30,1,1,2.52
Mustijoen alaosan a,24,1,1,
Bruksträsketin va,18,1,1,15.600000000000001
Saloveden - Heinlammen va,6,1,1,
